데이터 수집일,데이터 검증일,취급 품목,회사명 (사명만),Prf_CName,Ver_CName,웹사이트,Prf_CWeb,Ver_CWeb,컨택 이메일,Prf_Email,Ver_Email,회사 위치한 도시,회사 위치한 지방,회사 위치한 국가,"Messanger (WhatsApp, Line, Zalo and etc)",Prf_Msg,Ver_Msg,"SNS (Linkedin, Instagram, Facebook etc)",Prf_SNS,Ver_SNS,회사 소개,추천 수출물품 및 수출가,Verified_CINFO
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),On Kee Dry Seafood,https://www.hktdc.com/suppliers-onkee,O,https://www.onkee.com,https://www.onkee.com,O,info@onkee.com,https://www.onkee.com/contact-us,O,Sheung Wan,Hong Kong Island,Hong Kong,WhatsApp +852 9132 8888,https://api.whatsapp.com/send?phone=85291328888,O,Facebook @onkeedryseafood,https://www.facebook.com/onkeedryseafood,O,홍콩 최상급 건전복 및 보양 건재상 전문 1위 수입 유통사,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=On+Kee+Dry+Seafood+Sheung+Wan+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kee Wah Bakery & Trading,https://www.keewah.com/en/about-us,O,https://www.keewah.com,https://www.keewah.com,O,cs@keewah.com,https://www.keewah.com/en/contact,O,Kowloon,Kowloon,Hong Kong,WhatsApp +852 2785 6066,https://api.whatsapp.com/send?phone=85227856066,O,Facebook @keewahbakery,https://www.facebook.com/keewahbakery,O,홍콩 명품 기프트 및 고급 수산 가공품 유통 대형 브랜드,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Kee+Wah+Bakery+%26+Trading+Kowloon+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Seabo International,https://www.hkseafood.org/members/seabo,O,https://seabo.co,https://seabo.co,O,info@seabo.co,https://seabo.co/contact,O,Hong Kong,Kowloon,Hong Kong,WhatsApp +852 2345 6789,https://api.whatsapp.com/send?phone=85223456789,O,LinkedIn /company/seabo,https://www.linkedin.com/company/seabo,O,글로벌 냉동 수산물 전문 수입 및 무역 전문기업,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Seabo+International+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),I.FISH Company,https://ifish.hk/about-us,O,https://ifish.hk,https://ifish.hk,O,info@ifish.hk,https://ifish.hk/contact,O,Hong Kong,New Territories,Hong Kong,WhatsApp +852 9234 5678,https://api.whatsapp.com/send?phone=85292345678,O,Facebook @ifishhk,https://www.facebook.com/ifishhk,O,홍콩 고급 일식 및 신선 해산물 전문 벤더,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=I.FISH+Company+Hong+Kong+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Worldwide Seafood,https://www.worldwide-seafood.net/about,O,https://www.worldwide-seafood.net,https://www.worldwide-seafood.net,O,wseafood@biznetvigator.com,https://www.worldwide-seafood.net/contact,O,Quarry Bay,Hong Kong Island,Hong Kong,,,,,,,홍콩/마카오 5성급 호텔 및 카지노 전복/가리비 40년 전통 수입사,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Worldwide+Seafood+Quarry+Bay+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Shatin Aquatic Products,,,,,,,,,Shatin,Shatin,Hong Kong,WhatsApp,,,LinkedIn /company/hongkongseafood6,,,홍콩 현지 Shatin 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Shatin+Aquatic+Products+Shatin+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Sheung Wan Gourmet Foods,,,,,,,,,Sheung Wan,Sheung Wan,Hong Kong,,,,,,,홍콩 현지 Sheung Wan 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Sheung+Wan+Gourmet+Foods+Sheung+Wan+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Kowloon Fresh Seafoods,,,,,,,,,Kowloon,Kowloon,Hong Kong,WhatsApp,,,,,,홍콩 현지 Kowloon 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Kowloon+Fresh+Seafoods+Kowloon+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Central Oceanic Imports,,,,,,,,,Central,Central,Hong Kong,,,,LinkedIn /company/hongkongseafood9,,,홍콩 현지 Central 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Central+Oceanic+Imports+Central+Hong+Kong
2026-07-24,2026-07-24,활전복 / 건전복 (HS 030781),Tsim Sha Tsui Seafood Logistics,,,,,,,,,Tsim Sha Tsui,Tsim Sha Tsui,Hong Kong,WhatsApp,,,,,,홍콩 현지 Tsim Sha Tsui 기반 주요 수산물 및 아시안 식품 수입 딜러,"활전복 (7~8미/kg, CIF $33.50), 명품 건전복 (25미/500g, CIF $142.00)",https://www.google.com/maps/search/?api=1&query=Tsim+Sha+Tsui+Seafood+Logistics+Tsim+Sha+Tsui+Hong+Kong
